Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Recovery_Rate,Total_cases,Death_Rate
Afghanistan,1269,25198,9796,106.0,10.0,18,3.5,69.49,5.04,35526,737,2.07,72660.0,34.67932837875035,36263,3.499434685492099
Albania,144,2745,1991,117.0,6.0,63,2.95,56.25,5.25,4171,709,17.0,9946.0,27.599034787854414,4880,2.9508196721311477
Algeria,1163,18837,7973,616.0,8.0,749,4.16,67.34,6.17,23691,4282,18.07,57319.0,32.863448420244595,27973,4.1575805240767885
Andorra,52,803,52,10.0,0.0,0,5.73,88.53,6.48,884,23,2.6,1824.0,44.02412280701755,907,5.733186328555679
Angola,41,242,667,18.0,1.0,0,4.32,25.47,16.94,749,201,26.84,1919.0,12.610734757686295,950,4.315789473684211
Antigua and Barbuda,3,65,18,4.0,0.0,5,3.49,75.58,4.62,76,10,13.16,181.0,35.91160220994475,86,3.488372093023256
Argentina,3059,72575,91782,4890.0,120.0,2057,1.83,43.35,4.21,130774,36642,28.02,341899.0,21.22702903489042,167416,1.827184976346347
Armenia,711,26665,10014,73.0,6.0,187,1.9,71.32,2.67,34981,2409,6.89,75046.0,35.531540655064894,37390,1.901577962021931
Australia,167,9311,5825,368.0,6.0,137,1.09,60.84,1.79,12428,2875,23.13,31117.0,29.92255037439342,15303,1.0912892896817616
Austria,713,18246,1599,86.0,1.0,37,3.47,88.75,3.91,19743,815,4.13,41240.0,44.24345295829292,20558,3.46823620974803
Azerbaijan,423,23242,6781,396.0,6.0,558,1.39,76.34,1.82,27890,2556,9.16,61852.0,37.57679622324258,30446,1.389345069959929
Bahamas,11,91,280,1282.7401129943503,30.401129943502823,0,2.88,23.82,12.09,174,208,119.54,2077.141242937853,4.381021286318115,382,2.8795811518324608
Bahrain,141,36110,3231,351.0,1.0,421,0.36,91.46,0.39,36936,2546,6.89,79737.0,45.28637897086673,39482,0.3571247657160225
Bangladesh,2965,125683,97577,2772.0,37.0,1801,1.31,55.56,2.36,207453,18772,9.05,457060.0,27.498140287927185,226225,1.310642059896121
Barbados,7,94,9,0.0,0.0,0,6.36,85.45,7.45,106,4,3.77,220.0,42.72727272727273,110,6.363636363636363
